feature,mean_abs_shap
recovery_score,0.24451248145694704
training_load_ratio,0.09779404567509062
sleep_change_pct,0.06607438781396183
hr_change_bpm,0.02913249591991028
hr_elevation_bpm,0.025155805388313225
steps_change_pct,0.016427899787489902
source_figshare,0.0027772432049074187
source_lifesnaps,0.002532684312071779
baseline_days,0.0025285363915176196
current_days,0.0013653310542837208
